1,周远扬,男,博士,教授,群及其表示,华中师范大学,中国
2,张文明,男,博士,研究员,微机电系统动力学,上海交通大学,中国
3,吴兴刚,男,博士,教授,粒子物理理论,重庆大学,中国
4,郭国平,男,博士,教授,半导体量子计算,中国科学技术大学,中国
5,张希,男,博士,教授,几何分析,中国科学技术大学,中国
6,彭海平,男,博士,教授,实验粒子物理,中国科学技术大学,中国
7,邓友金,男,博士,教授,高效蒙特卡洛方法的发展和应用,中国科学技术大学,中国
8,胡俊,男,博士,教授,非标准有限元方法,北京大学,中国
9,吴成印,男,博士,教授,飞秒强场原子分子动力学及超快成像,北京大学,中国
10,胡忠坤,男,博士,教授,冷原子干涉引力精密测量,华中科技大学,中国
11,陈焱,男,博士,教授,量子多体物理的理论与计算研究,复旦大学,中国
12,陈玉琴,女,博士,研究员,银河系化学与运动学演化,中国科学院国家天文台,中国
13,李洪全,男,博士,教授,流形上的调和分析,复旦大学,中国
14,韩德仁,男,博士,教授,非线性规划理论与方法,南京师范大学,中国
15,王祥玉,男,博士,教授,高能宇宙线和高能中微子的起源及相关天体物理问题的研究,南京大学,中国
16,卢明辉,男,博士,教授,人工带隙材料,南京大学,中国
17,张平,男,博士,研究员,极端条件下凝聚态物质的电子性质,北京应用物理与计算数学研究所,中国
18,李岩,女,博士,教授,植物纤维增强复合材料力学,同济大学,中国
19,胡建生,男,博士,研究员,磁约束等离子体物理实验,中国科学院合肥物质科学研究院,中国
20,冯雪,男,博士,教授,实验固体力学,清华大学,中国
21,陈列文,男,博士,教授,重离子核物理,上海交通大学,中国
22,罗喜胜,男,博士,教授,实验流体力学,中国科学技术大学,中国
23,黄勇,男,博士,教授,偏微分方程,湖南大学,中国
24,齐颖新,女,博士,研究员,血管力学生物学,上海交通大学,中国
25,沈其龙,男,博士,研究员,有机化学,中国科学院上海有机化学研究所,中国
26,田善喜,男,博士,教授,电子诱导的分子反应动态学,中国科学技术大学,中国
27,罗正鸿,男,博士,研究员,聚合反应器模拟及应用,上海交通大学,中国
28,朱守非,男,博士,教授,催化有机合成化学,南开大学,中国
29,谢涛,男,博士,教授,形状记忆高分子,浙江大学,中国
30,雷晓光,男,博士,研究员,小分子探针导向的化学生物学,北京大学,中国
31,刘小华,女,博士,教授,不对称合成,四川大学,中国
32,刘志洪,男,博士,教授,荧光分析,武汉大学,中国
33,王书肖,女,博士,教授,大气污染化学,清华大学,中国
34,曹达鹏,男,博士,教授,纳微材料化工热力学基础及可控制备,北京化工大学,中国
35,唐睿康,男,博士,教授,生物矿化,浙江大学,中国
36,汪夏燕,女,博士,教授,微纳尺度分离分析,北京工业大学,中国
37,聂宗秀,男,博士,研究员,颗粒质谱与成像,中国科学院化学研究所,中国
38,栾天罡,男,博士,教授,环境分析与生态化学,中山大学,中国
39,戴志晖,女,博士,教授,生化分析及生物传感,南京师范大学,中国
40,宋宇飞,男,博士,教授,多酸插层材料,北京化工大学,中国
41,赵斌,男,博士,教授,功能配位化学,南开大学,中国
42,刘俊,男,博士,研究员,光电功能高分子,中国科学院长春应用化学研究所,中国
43,王维,男,博士,研究员,流态化与多相流反应工程,中国科学院过程工程研究所,中国
44,何伟,男,博士,研究员,无机化学,清华大学,中国
45,闻利平,男,博士,副研究员,材料物理化学,中国科学院理化技术研究所,中国
46,王建国,男,博士,教授,负载纳米金属催化剂的应用基础研究,浙江工业大学,中国
47,王亚韡,男,博士,研究员,环境分析化学与环境污染化学,中国科学院生态环境研究中心,中国
48,霍峰蔚,男,博士,教授,配位聚合物,南京工业大学,中国
49,汤亚杰,男,博士,教授,天然产物生物制造,湖北工业大学,中国
50,杨海波,男,博士,教授,有机超分子与聚集体化学,华东师范大学,中国
51,王博,男,博士,教授,用于有害物质捕捉检测的金属有机框架薄膜化研究,北京理工大学,中国
52,陈立桅,男,博士,研究员,物理化学,中国科学院苏州纳米技术与纳米仿生研究所,中国
53,李金恒,男,博士,教授,有机合成方法学,南昌航空大学,中国
54,李国辉,男,博士,研究员,理论与计算生物物理化学,中国科学院大连化学物理研究所,中国
55,刘健华,女,博士,教授,兽医药理学,华南农业大学,中国
56,汤富酬,男,博士,研究员,发育生物学,北京大学,中国
57,周大旺,男,博士,教授,分子免疫学,厦门大学,中国
58,王一国,男,博士,研究员,生理学与整合生物学,清华大学,中国
59,吕海东,男,博士,教授,视觉认知神经科学,北京师范大学,中国
60,杨茂君,男,博士,教授,生物大分子的结构与功能,清华大学,中国
61,毛同林,男,博士,教授,植物细胞生物学,中国农业大学,中国
62,张锋,男,博士,教授,人类基因组拷贝数变异及其生物学功能,复旦大学,中国
63,窦道龙,男,博士,教授,疫霉菌效应子,南京农业大学,中国
64,刘建祥,男,博士,研究员,植物逆境生物学,复旦大学,中国
65,武振龙,男,博士,研究员,单胃动物营养学,中国农业大学,中国
66,罗杰,男,博士,教授,作物代谢组学,华中农业大学,中国
67,朱朝东,男,博士,研究员,昆虫系统学,中国科学院动物研究所,中国
68,黄广华,男,博士,研究员,病原真菌生物学,中国科学院微生物研究所,中国
69,王晓雪,女,博士,研究员,微生物生理与代谢,中国科学院南海海洋研究所,中国
70,秦峰,女,博士,研究员,玉米抗旱性的分子遗传学,中国科学院植物研究所,中国
71,张彦,女,博士,教授,植物生殖生物学,山东农业大学,中国
72,牛书丽,女,博士,研究员,陆地生态系统碳循环与全球变化,中国科学院地理科学与资源研究所,中国
73,黄志群,男,博士,研究员,森林土壤学,福建师范大学,中国
74,黄亿华,男,博士,研究员,膜蛋白结构与功能研究,中国科学院生物物理研究所,中国
75,张雷,男,博士,研究员,细胞增殖与分化,中国科学院上海生命科学研究院,中国
76,杨运桂,男,博士,研究员,基因表达调控与表观遗传学,中国科学院北京基因组研究所,中国
77,曾艺,女,博士,研究员,乳腺干细胞的调控机理,中国科学院上海生命科学研究院,加拿大
78,仇子龙,男,博士,研究员,自闭症的神经生物学机制与非人灵长类动物模型,中国科学院上海生命科学研究院,中国
79,朱楚洪,男,博士,教授,组织工程学,中国人民解放军第三军医大学,中国
80,周斌,男,博士,研究员,心血管发育与组织再生,中国科学院上海生命科学研究院,中国
81,秦礼萍,女,博士,教授,同位素宇宙化学,中国科学技术大学,中国
82,马坚伟,男,博士,教授,勘探地球物理学,哈尔滨工业大学,中国
83,汪亚平,男,博士,教授,河口海岸学：潮控河口海岸沉积体系与地貌演化的现代过程研究,南京大学,中国
84,刘瑜,男,博士,教授,地理空间模型与分析方法,北京大学,中国
85,刘俊国,男,博士,教授,自然－经济系统水资源评价理论与方法,南方科技大学,中国
86,黄小龙,男,博士,研究员,岩石学,中国科学院广州地球化学研究所,中国
87,张强,男,博士,教授,人为源大气污染物排放,清华大学,中国
88,张颖,女,博士,教授,黑土污染与生物修复,东北农业大学,中国
89,袁林旺,男,博士,教授,地理信息系统,南京师范大学,中国
90,姜大膀,男,博士,研究员,古气候模拟,中国科学院大气物理研究所,中国
91,陈玖斌,男,博士,研究员,金属稳定同位素环境地球化学,中国科学院地球化学研究所,中国
92,黄雨,男,博士,教授,地震工程地质学,同济大学,中国
93,郭庆军,男,博士,研究员,稳定同位素地球化学与地球环境,中国科学院地理科学与资源研究所,中国
94,傅平青,男,博士,研究员,气溶胶化学,中国科学院大气物理研究所,中国
95,陈海山,男,博士,教授,陆气相互作用,南京信息工程大学,中国
96,刘全有,男,博士,教授,成烃-成藏油气地球化学,中国石油化工股份有限公司石油勘探开发研究院,中国
97,倪喜军,男,博士,研究员,古灵长类学与古人类学,中国科学院古脊椎动物与古人类研究所,中国
98,韩永明,男,博士,研究员,焦炭与烟炱地球化学,中国科学院地球环境研究所,中国
99,赵亮,男,博士,研究员,地震学,中国科学院地质与地球物理研究所,中国
100,吴元保,男,博士,教授,岩石学,中国地质大学（武汉）,中国
101,郝青振,男,博士,研究员,第四纪地质学,中国科学院地质与地球物理研究所,中国
